"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "HTML", "Less", "CSS", "comment", "blank", "total"
"d:\Ang\App-MP\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 0, 0, 14, 28
"d:\Ang\App-MP\angular.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 86, 0, 116
"d:\Ang\App-MP\karma.conf.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 0, 6, 2, 45
"d:\Ang\App-MP\package-lock.json", "JSON", 20473, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20474
"d:\Ang\App-MP\package.json", "JSON", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42
"d:\Ang\App-MP\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 8, 3, 21
"d:\Ang\App-MP\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 54, 0, 0, 7, 2, 63
"d:\Ang\App-MP\src\app\app.component.less", "Less", 0, 0, 0, 0, 0, 0, 43, 0, 0, 2, 45
"d:\Ang\App-MP\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 5, 36
"d:\Ang\App-MP\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 7, 2, 18
"d:\Ang\App-MP\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 7, 5, 27
"d:\Ang\App-MP\src\app\core\core.module.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 8, 3, 53
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 0, 7, 0, 13
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.less", "Less", 0, 0, 0, 0, 0, 0, 97, 0, 0, 4, 101
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 7, 0, 17
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.less", "Less", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 34
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 7, 5, 30
"d:\Ang\App-MP\src\app\pages\home\home-resolve.service.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 7, 2, 31
"d:\Ang\App-MP\src\app\pages\home\home-routing.module.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 7, 3, 23
