"filename", "language", "TypeScript", "Less", "HTML", "CSS", "comment", "blank", "total"
"d:\Ang\App-MP\src\app\app-routing.module.ts", "TypeScript", 10, 0, 0, 0, 8, 3, 21
"d:\Ang\App-MP\src\app\app.component.html", "HTML", 0, 0, 54, 0, 7, 2, 63
"d:\Ang\App-MP\src\app\app.component.less", "Less", 0, 43, 0, 0, 0, 2, 45
"d:\Ang\App-MP\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 0, 5, 36
"d:\Ang\App-MP\src\app\app.component.ts", "TypeScript", 9, 0, 0, 0, 7, 2, 18
"d:\Ang\App-MP\src\app\app.module.ts", "TypeScript", 15, 0, 0, 0, 7, 5, 27
"d:\Ang\App-MP\src\app\core\core.module.ts", "TypeScript", 42, 0, 0, 0, 8, 3, 53
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.html", "HTML", 0, 0, 6, 0, 7, 0, 13
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.less", "Less", 0, 97, 0, 0, 0, 4, 101
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\pages\home\components\member-card\member-card.component.ts", "TypeScript", 11, 0, 0, 0, 0, 5, 16
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.html", "HTML", 0, 0, 10, 0, 7, 0, 17
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.less", "Less", 0, 34, 0, 0, 0, 0, 34
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\pages\home\components\mp-carousel\mp-carousel.component.ts", "TypeScript", 18, 0, 0, 0, 7, 5, 30
"d:\Ang\App-MP\src\app\pages\home\home-resolve.service.ts", "TypeScript", 22, 0, 0, 0, 7, 2, 31
"d:\Ang\App-MP\src\app\pages\home\home-routing.module.ts", "TypeScript", 13, 0, 0, 0, 7, 3, 23
"d:\Ang\App-MP\src\app\pages\home\home.component.html", "HTML", 0, 0, 64, 0, 7, 5, 76
"d:\Ang\App-MP\src\app\pages\home\home.component.less", "Less", 0, 124, 0, 0, 1, 24, 149
"d:\Ang\App-MP\src\app\pages\home\home.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\pages\home\home.component.ts", "TypeScript", 60, 0, 0, 0, 46, 15, 121
"d:\Ang\App-MP\src\app\pages\home\home.module.ts", "TypeScript", 20, 0, 0, 0, 7, 5, 32
"d:\Ang\App-MP\src\app\pages\pages.module.ts", "TypeScript", 9, 0, 0, 0, 7, 2, 18
"d:\Ang\App-MP\src\app\services\data-types\common.types.ts", "TypeScript", 35, 0, 0, 0, 12, 6, 53
"d:\Ang\App-MP\src\app\services\home.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\home.service.ts", "TypeScript", 26, 0, 0, 0, 8, 6, 40
"d:\Ang\App-MP\src\app\services\services.module.ts", "TypeScript", 12, 0, 0, 0, 7, 3, 22
"d:\Ang\App-MP\src\app\services\sheet.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\sheet.service.ts", "TypeScript", 28, 0, 0, 0, 17, 8, 53
"d:\Ang\App-MP\src\app\services\singer.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\singer.service.ts", "TypeScript", 26, 0, 0, 0, 13, 6, 45
"d:\Ang\App-MP\src\app\services\song.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 5, 17
"d:\Ang\App-MP\src\app\services\song.service.ts", "TypeScript", 30, 0, 0, 0, 28, 9, 67
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player-panel\mp-player-panel.component.html", "HTML", 0, 0, 44, 0, 10, 1, 55
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player-panel\mp-player-panel.component.less", "Less", 0, 229, 0, 0, 5, 6, 240
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player-panel\mp-player-panel.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player-panel\mp-player-panel.component.ts", "TypeScript", 64, 0, 0, 0, 30, 10, 104
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.html", "HTML", 0, 0, 64, 0, 17, 4, 85
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.less", "Less", 0, 202, 0, 0, 0, 4, 206
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 6, 24
"d:\Ang\App-MP\src\app\share\mp-ui\mp-player\mp-player.component.ts", "TypeScript", 221, 0, 0, 0, 68, 46, 335
